date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:31	5889/5889	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:31%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab1/?C=S;O=A	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/indexbfec.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:32	20558/20558	---M--	200	added ('OK')	image/jpeg	etag:%22504e-557d9c0ae6c54%22	http://web.cs.iastate.edu/~cs227/labs/lab1/specchecker.jpg	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/specchecker.jpg	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:32	1374/1374	---M--	200	added ('OK')	text/plain	etag:%2255e-55866c30b8458%22	http://web.cs.iastate.edu/~cs227/labs/lab2/Basketball.java	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/Basketball.java	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:32	163210/163210	---M--	200	added ('OK')	image/jpeg	etag:%2227d8a-557d9c0a2f2d3%22	http://web.cs.iastate.edu/~cs227/labs/lab1/piazza.jpg	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/piazza.jpg	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:32	4558/4558	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:32%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab2/?C=N;O=D	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/indexc052.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:32	5889/5889	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:32%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab1/?C=D;O=A	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/index30b5.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:32	4558/4558	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:32%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab2/?C=M;O=A	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/indexf8a0.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:36	21329/21329	---M--	200	added ('OK')	image/jpeg	etag:%225351-55866c32384e3%22	http://web.cs.iastate.edu/~cs227/labs/lab2/memory_map.jpg	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/memory_map.jpg	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:36	22543/22543	---M--	200	added ('OK')	image/jpeg	etag:%22580f-55866c35d2ea2%22	http://web.cs.iastate.edu/~cs227/labs/lab2/memory_map2.jpg	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/memory_map2.jpg	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:36	4558/4558	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:36%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab2/?C=S;O=A	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/indexbfec.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:36	3034/3034	---M--	200	added ('OK')	text/html	etag:%22bda-55866c3615cf2%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page01.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page01.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:37	4558/4558	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:37%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab2/?C=D;O=A	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/index30b5.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:37	4126/4126	---M--	200	added ('OK')	text/html	etag:%22101e-55866c36c22c4%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page03.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page03.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:37	1143/1143	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:37%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab2/doc/	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/doc/index.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:37	4328/4328	---M--	200	added ('OK')	text/html	etag:%2210e8-55866c371a104%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page04.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page04.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:37	2397/2397	---M--	200	added ('OK')	text/html	etag:%2295d-55866c37a6eed%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page05.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page05.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:38	2854/2854	---M--	200	added ('OK')	text/html	etag:%22b26-55866c37ef716%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page06.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page06.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:38	11297/11297	---M--	200	added ('OK')	text/html	etag:%222c21-55866c38b011f%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page06a.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page06a.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:38	6545/6545	---M--	200	added ('OK')	text/html	etag:%221991-55866c3910430%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page06b.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page06b.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:39	4672/4672	---M--	200	added ('OK')	text/html	etag:%221240-55866c39aacd9%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page07.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page07.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:39	4899/4899	---M--	200	added ('OK')	text/html	etag:%221323-55866c3a0e69a%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page08.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page08.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:39	2855/2855	---M--	200	added ('OK')	text/html	etag:%22b27-55866c3a7b4cb%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page10.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page10.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:39	3073/3073	---M--	200	added ('OK')	text/html	etag:%22c01-55866c3affde4%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page11.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page11.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:39	1775/1775	---M--	200	added ('OK')	text/html	etag:%226ef-55866c3b6241d%22	http://web.cs.iastate.edu/~cs227/labs/lab2/page13.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/page13.html	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:40	798/798	---M--	200	added ('OK')	text/plain	etag:%2231e-558eed8863806%22	http://web.cs.iastate.edu/~cs227/labs/lab3/RabbitModel.java	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab3/RabbitModel.java	(from http://web.cs.iastate.edu/~cs227/labs/lab3/)
21:09:40	3929/3929	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:40%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab3/?C=N;O=D	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab3/indexc052.html	(from http://web.cs.iastate.edu/~cs227/labs/lab3/)
21:09:44	28134/28134	---M--	200	added ('OK')	application/x-java-archive	etag:%226de6-55866c3c147ae%22	http://web.cs.iastate.edu/~cs227/labs/lab2/speccheck_lab2.jar	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab2/speccheck_lab2.jar	(from http://web.cs.iastate.edu/~cs227/labs/lab2/)
21:09:44	1551/1551	---M--	200	added ('OK')	text/html	etag:%2260f-558eed882f416%22	http://web.cs.iastate.edu/~cs227/labs/lab3/page01.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab3/page01.html	(from http://web.cs.iastate.edu/~cs227/labs/lab3/)
21:09:44	3929/3929	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:44%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab3/?C=M;O=A	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab3/indexf8a0.html	(from http://web.cs.iastate.edu/~cs227/labs/lab3/)
21:09:45	2477/2477	---M--	200	added ('OK')	text/html	etag:%229ad-558eed883079e%22	http://web.cs.iastate.edu/~cs227/labs/lab3/page02.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab3/page02.html	(from http://web.cs.iastate.edu/~cs227/labs/lab3/)
